year,month,day,transect,plot,species_code,area,method,total_biomass,biomass_notes
2015,10,30,G1,1,SPAL,0.01,harvest,370,NA
2015,10,30,G1,2,DEAD,0.01,harvest,875,DEAD
2015,10,30,G1,2,DISP,0.01,harvest,117,NA
2015,10,30,G1,2,SPPA,0.01,harvest,55,NA
2015,10,30,G1,3,DEAD,0.01,harvest,623,DEAD
2015,10,30,G1,3,SPPA,0.01,harvest,663,NA
2015,10,30,G1,4,DEAD,0.01,harvest,791,DEAD
2015,10,30,G1,4,SPPA,0.01,harvest,399,NA
2015,10,30,G1,5,DEAD,0.01,harvest,1280,DEAD
2015,10,30,G1,5,SPPA,0.01,harvest,244,NA
2015,10,30,G1,6,DEAD,0.01,harvest,891,DEAD
2015,10,30,G1,6,SCAM,0.01,harvest,72,NA
2015,10,30,G1,6,SPPA,0.01,harvest,38,NA
2015,10,30,G1,7,DEAD,0.01,harvest,312,DEAD
2015,10,30,G1,7,DISP,0.01,harvest,34,NA
2015,10,30,G1,7,SPPA,0.01,harvest,101,NA
2015,10,30,G1,7,SYTE,0.01,harvest,12,NA
2015,10,30,G1,8,DEAD,0.01,harvest,945,DEAD
2015,10,30,G1,8,DISP,0.01,harvest,28.000000000000004,NA
2015,10,30,G1,8,SPPA,0.01,harvest,118,NA
2015,10,30,G1,9,DEAD,0.01,harvest,1151,DEAD
2015,10,30,G1,9,DISP,0.01,harvest,12,NA
2015,10,30,G1,9,SPPA,0.01,harvest,82,NA
2015,10,30,G1,10,DEAD,0.01,harvest,818.9999999999999,DEAD
2015,10,30,G1,10,DISP,0.01,harvest,216,NA
2015,10,30,G1,10,SPAL,0.01,harvest,37,NA
2015,10,30,G1,11,DEAD,0.01,harvest,419.00000000000006,DEAD
2015,10,30,G1,11,SPPA,0.01,harvest,619,NA
2015,10,30,G1,12,DEAD,0.01,harvest,2396,DEAD
2015,10,30,G1,12,SPPA,0.01,harvest,146,NA
2015,10,30,G1,13,DEAD,0.01,harvest,405.99999999999994,DEAD
2015,10,30,G1,13,DISP,0.01,harvest,25,NA
2015,10,30,G1,13,SPPA,0.01,harvest,194,NA
2015,10,30,G1,14,DEAD,0.01,harvest,271,DEAD
2015,10,30,G1,14,DISP,0.01,harvest,43,NA
2015,10,30,G1,14,SCAM,0.01,harvest,83,NA
2015,10,30,G1,14,SPPA,0.01,harvest,70,NA
2015,10,30,G1,15,DEAD,0.01,harvest,992,DEAD
2015,10,30,G1,15,SPPA,0.01,harvest,171,NA
2015,10,30,G1,16,DEAD,0.01,harvest,375.99999999999994,DEAD
2015,10,30,G1,16,SPPA,0.01,harvest,141,NA
2015,10,30,G1,17,DEAD,0.01,harvest,461,DEAD
2015,10,30,G1,18,DEAD,0.01,harvest,670,DEAD
2015,10,30,G1,18,DISP,0.01,harvest,16,NA
2015,10,30,G1,18,SCAM,0.01,harvest,34,NA
2015,10,30,G1,19,DEAD,0.01,harvest,622,DEAD
2015,10,30,G2,7,DEAD,0.01,harvest,496.99999999999994,DEAD
2015,10,30,G2,7,DISP,0.01,harvest,73,NA
2015,10,30,G2,7,SPPA,0.01,harvest,155,NA
2015,10,30,G2,8,DEAD,0.01,harvest,776.9999999999999,DEAD
