year,month,day,transect,plot,species_code,family,genus,species,plant_count,area,duplicate_flag,high_abundance_method,plant_count_notes
2015,10,15,R1,1,AMCA,NA,Amaranthus,cannabinus,3,1,NA,NA,NA
2015,10,15,R1,1,ATPA,NA,Atriplex,patula,1,1,NA,NA,NA
2015,10,15,R1,1,SCRO,NA,Schoenoplectus,robustus,2,1,NA,NA,NA
2015,10,15,R1,1,SPAL,NA,Spartina,alterniflora,103,1,NA,NA,NA
2015,10,15,R1,1,SYLA,NA,Symphyotrichum,lanceolatum,3,1,NA,NA,NA
2015,10,15,R1,2,AMCA,NA,Amaranthus,cannabinus,3,1,NA,NA,NA
2015,10,15,R1,2,SCRO,NA,Schoenoplectus,robustus,4,1,NA,NA,NA
2015,10,15,R1,2,SPAL,NA,Spartina,alterniflora,49,1,NA,NA,NA
2015,10,15,R1,2,SYLA,NA,Symphyotrichum,lanceolatum,2,1,NA,NA,NA
2015,10,15,R1,2,TYAN,NA,Typha,angustifolia,4,1,NA,NA,NA
2015,10,15,R1,2,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2015,10,15,R1,3,PLOD,NA,Pluchea,odorata,1,1,NA,NA,NA
2015,10,15,R1,3,SCRO,NA,Schoenoplectus,robustus,14,1,NA,NA,NA
2015,10,15,R1,3,SPAL,NA,Spartina,alterniflora,77,1,NA,NA,NA
2015,10,15,R1,3,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2015,10,15,R1,4,SCRO,NA,Schoenoplectus,robustus,6,1,NA,NA,NA
2015,10,15,R1,4,SYTE,NA,Symphyotrichum,tenuifolium,3,1,NA,NA,NA
2015,10,15,R1,4,TYAN,NA,Typha,angustifolia,15,1,NA,NA,NA
2015,10,15,R1,4,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2015,10,15,R1,5,HIMO,NA,Hibiscus,moscheutos,5,1,NA,NA,NA
2015,10,15,R1,5,SALA,NA,Sagittaria,latifolia,7,1,NA,NA,NA
2015,10,15,R2,1,PHAU,NA,Phragmites,australis,34,1,NA,NA,NA
2015,10,15,R2,1,AMCA,NA,Amaranthus,cannabinus,1,1,NA,NA,NA
2015,10,15,R2,1,SCRO,NA,Schoenoplectus,robustus,5,1,NA,NA,NA
2015,10,15,R2,1,SPAL,NA,Spartina,alterniflora,6,1,NA,NA,NA
2015,10,15,R2,1,SYLA,NA,Symphyotrichum,lanceolatum,1,1,NA,NA,NA
2015,10,15,R2,2,PHAU,NA,Phragmites,australis,19,1,NA,NA,NA
2015,10,15,R2,2,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2015,10,15,R2,3,PHAU,NA,Phragmites,australis,47,1,NA,NA,NA
2015,10,15,R2,3,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2015,10,15,R2,3,SPAL,NA,Spartina,alterniflora,52,1,NA,NA,NA
2015,10,15,R2,4,PHAU,NA,Phragmites,australis,45,1,NA,NA,NA
2015,10,15,R2,4,AMCA,NA,Amaranthus,cannabinus,1,1,NA,NA,NA
2015,10,15,R2,4,SPAL,NA,Spartina,alterniflora,10,1,NA,NA,NA
2015,10,15,R2,5,PHAU,NA,Phragmites,australis,10,1,NA,NA,NA
2015,10,15,R3,1,PHAU,NA,Phragmites,australis,11,1,NA,NA,NA
2015,10,15,R3,1,SCRO,NA,Schoenoplectus,robustus,17,1,NA,NA,NA
2015,10,15,R3,1,SPAL,NA,Spartina,alterniflora,120,1,NA,NA,NA
2015,10,15,R3,1,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2015,10,15,R3,2,PHAU,NA,Phragmites,australis,34,1,NA,NA,NA
2015,10,15,R3,2,SCRO,NA,Schoenoplectus,robustus,14,1,NA,NA,NA
2015,10,15,R3,2,SYTE,NA,Symphyotrichum,tenuifolium,6,1,NA,NA,NA
2015,10,15,R3,3,PHAU,NA,Phragmites,australis,14,1,NA,NA,NA
2015,10,15,R3,3,KOVI,NA,Kosteletzkya ,virginica,1,1,NA,NA,NA
2015,10,15,R3,4,PHAU,NA,Phragmites,australis,36,1,NA,NA,NA
