Name,Elevation,Category,Lat,Lon
RTCM0017,15.796,,38.84801219N,77.04940230W
sontek,1.066,Flume,38.87485216N,76.54646191W
sonde-bar,0.838,Flume,38.87484673N,76.54646989W
sonde-top,0.022,Flume,38.87484628N,76.54646881W
side-a1,0.103,Flume,38.87487862N,76.54640710W
side-a2,0.369,Flume,38.87489678N,76.54639753W
side-a3,0.418,Flume,38.87489597N,76.54640775W
side-b1,0.411,Flume,38.87486993N,76.54658051W
side-b2,0.272,Flume,38.87485139N,76.54658849W
side-b3,0.407,Flume,38.87484619N,76.54656622W
genx-1,0.322,genx,38.87470068N,76.54975306W
genx-4,0.358,genx,38.87471860N,76.54976974W
genx-7,0.357,genx,38.87473475N,76.54978402W
genx-10,0.349,genx,38.87475151N,76.54979882W
genx-12,0.344,genx,38.87478288N,76.54977199W
genx-9,0.332,genx,38.87476442N,76.54975584W
genx-6,0.342,genx,38.87474586N,76.54973821W
genx-3,0.499,genx,38.87472972N,76.54972160W
genx-2,0.451,genx,38.87473847N,76.54969575W
genx-5,0.334,genx,38.87475608N,76.54971362W
genx-8,0.409,genx,38.87477316N,76.54972955W
genx-11,0.285,genx,38.87478868N,76.54974151W
g3-6,0.198,g3,38.87781858N,76.54422179W
g3-5,0.423,g3,38.87784880N,76.54401743W
g3-4,0.369,g3,38.87781559N,76.54381808W
g3-3,0.378,g3,38.87775947N,76.54365479W
g3-2,0.334,g3,38.87772902N,76.54324840W
g3-1,0.16,g3,38.87773089N,76.54312240W
