time,precip_sum,mean_temp
2015-01-01T00:00,0,2.1
2015-01-02T00:00,0,4.1
2015-01-03T00:00,10.4,3.4
2015-01-04T00:00,12.5,9.9
2015-01-05T00:00,0,3.8
2015-01-06T00:00,2.6,-2.1
2015-01-07T00:00,0,-4.3
2015-01-08T00:00,0,-8.3
2015-01-09T00:00,0,-0.8
2015-01-10T00:00,0,-5.6
2015-01-11T00:00,0,-0.9
2015-01-12T00:00,31,2.4
2015-01-13T00:00,0.8,0.4
2015-01-14T00:00,1.8,-2
2015-01-15T00:00,0,0.5
2015-01-16T00:00,0,2
2015-01-17T00:00,0,-0.8
2015-01-18T00:00,18.3,3.3
2015-01-19T00:00,0,3.7
2015-01-20T00:00,0.4,2.3
2015-01-21T00:00,3,0.2
2015-01-22T00:00,0.6,1.9
2015-01-23T00:00,3.3,1.3
2015-01-24T00:00,20.5,2.6
2015-01-25T00:00,0,4.7
2015-01-26T00:00,3.2,1.8
2015-01-27T00:00,0.9,-0.1
2015-01-28T00:00,0,-1.6
2015-01-29T00:00,0.4,-0.7
2015-01-30T00:00,0.2,1.8
2015-01-31T00:00,0,-3.8
2015-02-01T00:00,1.1,0.8
2015-02-02T00:00,18.4,3.4
2015-02-03T00:00,0,-2.5
2015-02-04T00:00,0,2.7
2015-02-05T00:00,0,0.4
2015-02-06T00:00,0,-2.8
2015-02-07T00:00,0,1.7
2015-02-08T00:00,0,5.3
2015-02-09T00:00,1.6,2.1
2015-02-10T00:00,2.1,1.1
2015-02-11T00:00,0,0.8
2015-02-12T00:00,0,1.1
2015-02-13T00:00,0,-6.2
2015-02-14T00:00,2,-1.4
2015-02-15T00:00,0,-9.8
2015-02-16T00:00,3,-11
2015-02-17T00:00,5.6,-5.8
2015-02-18T00:00,1,-4.6
2015-02-19T00:00,0,-9
2015-02-20T00:00,0,-12.1
2015-02-21T00:00,15.2,-5.4
2015-02-22T00:00,8.1,2.2
2015-02-23T00:00,0,-1.2
2015-02-24T00:00,0,-6.3
2015-02-25T00:00,0,-0.7
2015-02-26T00:00,3.5,0.1
2015-02-27T00:00,0,-1.1
2015-02-28T00:00,0,-4
2015-03-01T00:00,8,-1.8
2015-03-02T00:00,2.2,2.1
2015-03-03T00:00,4.5,-0.4
2015-03-04T00:00,15.4,4.3
2015-03-05T00:00,31.2,0.2
2015-03-06T00:00,0,-6.8
2015-03-07T00:00,0,-2.1
2015-03-08T00:00,0,5.7
2015-03-09T00:00,0,6.5
2015-03-10T00:00,10.7,5.1
2015-03-11T00:00,2.5,9.4
2015-03-12T00:00,0,7.6
2015-03-13T00:00,0.2,4.8
2015-03-14T00:00,20.8,7.9
2015-03-15T00:00,0,8.1
2015-03-16T00:00,0.6,6.5
2015-03-17T00:00,0.2,11
2015-03-18T00:00,0,4.4
2015-03-19T00:00,0,4.6
2015-03-20T00:00,16.6,2.7
2015-03-21T00:00,0,5.7
2015-03-22T00:00,0,7.2
2015-03-23T00:00,0,3.4
2015-03-24T00:00,0.1,3.2
2015-03-25T00:00,1.8,4.6
2015-03-26T00:00,4,11.5
2015-03-27T00:00,7.4,6.7
2015-03-28T00:00,0,1.8
2015-03-29T00:00,0,1.9
2015-03-30T00:00,1.7,8.6
2015-03-31T00:00,1.1,9.9
2015-04-01T00:00,0,7.6
2015-04-02T00:00,0,11.1
2015-04-03T00:00,9,15.8
2015-04-04T00:00,4.5,12.1
2015-04-05T00:00,0,10.8
2015-04-06T00:00,0,14
2015-04-07T00:00,2.6,15.4
2015-04-08T00:00,4.2,8.5
2015-04-09T00:00,2.1,7.5
2015-04-10T00:00,2.3,11.5
2015-04-11T00:00,0,13.8
2015-04-12T00:00,0,11.8
2015-04-13T00:00,0,15
2015-04-14T00:00,18.3,14.1
2015-04-15T00:00,0.1,13.6
2015-04-16T00:00,0,14.6
2015-04-17T00:00,3.9,16.4
2015-04-18T00:00,0,17.8
2015-04-19T00:00,3.6,14.8
2015-04-20T00:00,34,17.7
2015-04-21T00:00,2.9,15.9
2015-04-22T00:00,0.9,14.4
2015-04-23T00:00,0,10.1
2015-04-24T00:00,0,9.5
2015-04-25T00:00,3.8,8.6
2015-04-26T00:00,1,11.7
2015-04-27T00:00,0,12
2015-04-28T00:00,0,14.1
2015-04-29T00:00,0,15.7
2015-04-30T00:00,0.1,15.5
2015-05-01T00:00,0.6,13.3
2015-05-02T00:00,0,14.8
2015-05-03T00:00,0,18.1
2015-05-04T00:00,0,19.9
2015-05-05T00:00,0,20.6
2015-05-06T00:00,0,19.8
2015-05-07T00:00,0,19.4
2015-05-08T00:00,0,20.5
2015-05-09T00:00,0,20.2
2015-05-10T00:00,0,21.9
2015-05-11T00:00,1.6,21.8
2015-05-12T00:00,0,24.2
2015-05-13T00:00,0,18.7
2015-05-14T00:00,0,15.8
2015-05-15T00:00,0,18.3
2015-05-16T00:00,3.5,22
2015-05-17T00:00,1.4,22.8
2015-05-18T00:00,1.7,24
2015-05-19T00:00,1.3,23.7
2015-05-20T00:00,0,19.3
2015-05-21T00:00,13,13.7
2015-05-22T00:00,0,17.7
2015-05-23T00:00,0,16.7
2015-05-24T00:00,0,19.6
2015-05-25T00:00,0,22.6
2015-05-26T00:00,0,23.4
2015-05-27T00:00,11.9,24
2015-05-28T00:00,0.1,23.9
2015-05-29T00:00,2.3,23.6
2015-05-30T00:00,0,24.1
2015-05-31T00:00,0,24.9
2015-06-01T00:00,33.1,24.1
2015-06-02T00:00,25.8,17.5
2015-06-03T00:00,1.2,16.1
2015-06-04T00:00,5.5,17.2
2015-06-05T00:00,1.5,17.6
2015-06-06T00:00,2.7,21.5
2015-06-07T00:00,0.1,20.9
2015-06-08T00:00,0,22.8
2015-06-09T00:00,2.7,24.7
2015-06-10T00:00,0,23.5
2015-06-11T00:00,0,25.9
2015-06-12T00:00,0,26.9
2015-06-13T00:00,2.7,26.9
2015-06-14T00:00,6.8,26.4
2015-06-15T00:00,1.3,27.3
2015-06-16T00:00,0,28
2015-06-17T00:00,0.1,25.3
2015-06-18T00:00,16.3,24.8
2015-06-19T00:00,0.9,25.9
2015-06-20T00:00,7.2,26.1
2015-06-21T00:00,6.1,27.7
2015-06-22T00:00,0,27.9
2015-06-23T00:00,1.3,28
2015-06-24T00:00,0.4,24.9
2015-06-25T00:00,7.1,24.5
2015-06-26T00:00,33.2,22.9
2015-06-27T00:00,19.7,21.8
2015-06-28T00:00,4.1,22.4
2015-06-29T00:00,0,22.6
2015-06-30T00:00,5.1,25.2
2015-07-01T00:00,0.8,24.9
2015-07-02T00:00,6.4,22.7
2015-07-03T00:00,0.1,23
2015-07-04T00:00,1.8,23.2
2015-07-05T00:00,0.1,24.4
2015-07-06T00:00,14,25
2015-07-07T00:00,2.4,26.7
