time,precip,temp
1985-01-01T00:00,0,10.8
1985-01-02T00:00,16.9,9.7
1985-01-03T00:00,18.9,2.7
1985-01-04T00:00,8.9,1.2
1985-01-05T00:00,7.4,2.6
1985-01-06T00:00,0,3.2
1985-01-07T00:00,0,4.7
1985-01-08T00:00,0,2.9
1985-01-09T00:00,0,-3.6
1985-01-10T00:00,0.9,-3.8
1985-01-11T00:00,3.8,-2.3
1985-01-12T00:00,0,-2.2
1985-01-13T00:00,0,-0.3
1985-01-14T00:00,0,2.4
1985-01-15T00:00,0,-1
1985-01-16T00:00,0,-4.1
1985-01-17T00:00,7.9,-0.5
1985-01-18T00:00,0,0.9
1985-01-19T00:00,0,1.5
1985-01-20T00:00,2.5,-10.5
1985-01-21T00:00,0,-14.4
1985-01-22T00:00,0,-5.4
1985-01-23T00:00,0,-2.2
1985-01-24T00:00,0,0.9
1985-01-25T00:00,0.6,2.5
1985-01-26T00:00,1,-3.3
1985-01-27T00:00,0,-3.3
1985-01-28T00:00,0,0.5
1985-01-29T00:00,0,-0.4
1985-01-30T00:00,0,-0.7
1985-01-31T00:00,14,1.3
1985-02-01T00:00,20.9,2.1
1985-02-02T00:00,13.4,1.4
1985-02-03T00:00,0,-3
1985-02-04T00:00,0,-3.1
1985-02-05T00:00,4,-1
1985-02-06T00:00,1,0.8
1985-02-07T00:00,0,-0.8
1985-02-08T00:00,0,-4.9
1985-02-09T00:00,0,-3.8
1985-02-10T00:00,0,-1.8
1985-02-11T00:00,0,1.1
1985-02-12T00:00,30.2,5.1
1985-02-13T00:00,0,1.5
1985-02-14T00:00,0,1.1
1985-02-15T00:00,0,0.1
1985-02-16T00:00,0,-1
1985-02-17T00:00,0.2,2.1
1985-02-18T00:00,0,3.2
1985-02-19T00:00,0,5.4
1985-02-20T00:00,0,1.9
1985-02-21T00:00,0,2.8
1985-02-22T00:00,0.2,8.9
1985-02-23T00:00,0,11.6
1985-02-24T00:00,0,14.2
1985-02-25T00:00,0,11.2
1985-02-26T00:00,9,6.1
1985-02-27T00:00,0,7.5
1985-02-28T00:00,0,1.6
1985-03-01T00:00,0,5.4
1985-03-02T00:00,0.4,8.7
1985-03-03T00:00,0,4.6
1985-03-04T00:00,1.6,5.8
1985-03-05T00:00,6.5,11.8
1985-03-06T00:00,0,2.2
1985-03-07T00:00,0,2.7
1985-03-08T00:00,0.9,8.3
1985-03-09T00:00,0,8.8
1985-03-10T00:00,0,7.6
1985-03-11T00:00,6.2,7.5
1985-03-12T00:00,6.1,10.4
1985-03-13T00:00,0,9.3
1985-03-14T00:00,0,9.3
1985-03-15T00:00,0,6.7
1985-03-16T00:00,0,4.6
1985-03-17T00:00,0,7.4
1985-03-18T00:00,0,1.9
1985-03-19T00:00,0,2.9
1985-03-20T00:00,0.6,11
1985-03-21T00:00,0,5.4
1985-03-22T00:00,11.5,4.3
1985-03-23T00:00,19.7,6
1985-03-24T00:00,14,5.1
1985-03-25T00:00,2.7,5.5
1985-03-26T00:00,0,6.1
1985-03-27T00:00,0,11.2
1985-03-28T00:00,0,15.9
1985-03-29T00:00,0,16.9
1985-03-30T00:00,9,11.8
1985-03-31T00:00,7.9,8
1985-04-01T00:00,4.7,9.8
1985-04-02T00:00,0,6.9
1985-04-03T00:00,1.7,7.9
1985-04-04T00:00,0.2,10.4
1985-04-05T00:00,0,17.2
1985-04-06T00:00,2.5,15.5
1985-04-07T00:00,3.5,10.1
1985-04-08T00:00,0.3,7
1985-04-09T00:00,8.3,3.4
1985-04-10T00:00,0,3.5
1985-04-11T00:00,0.6,9.7
1985-04-12T00:00,0,11.2
1985-04-13T00:00,0,13.4
1985-04-14T00:00,0.5,12.9
1985-04-15T00:00,0.2,13.4
1985-04-16T00:00,1.4,14.8
1985-04-17T00:00,0,12.2
1985-04-18T00:00,0,14.8
1985-04-19T00:00,0,20.9
1985-04-20T00:00,0,19.5
1985-04-21T00:00,0,17.5
1985-04-22T00:00,0,20.5
1985-04-23T00:00,0,17.2
1985-04-24T00:00,1.1,13.4
1985-04-25T00:00,9,14.4
1985-04-26T00:00,0,17.5
1985-04-27T00:00,0,18.3
1985-04-28T00:00,0.2,15.6
1985-04-29T00:00,0,14.4
1985-04-30T00:00,0,16.3
1985-05-01T00:00,0,19
1985-05-02T00:00,13,14.5
1985-05-03T00:00,25.1,11.5
1985-05-04T00:00,0,13.3
1985-05-05T00:00,0,17.3
1985-05-06T00:00,0,19.3
1985-05-07T00:00,0,17.3
1985-05-08T00:00,0,16.3
1985-05-09T00:00,0,16.5
1985-05-10T00:00,0,19
1985-05-11T00:00,0.1,21.2
1985-05-12T00:00,1.8,20.7
1985-05-13T00:00,0,21.6
1985-05-14T00:00,0,21.8
1985-05-15T00:00,0,16.4
1985-05-16T00:00,16.3,16.5
1985-05-17T00:00,12.4,16.2
1985-05-18T00:00,7.1,15.8
1985-05-19T00:00,0,16
1985-05-20T00:00,0,20
1985-05-21T00:00,17.7,20.7
1985-05-22T00:00,0,18.6
1985-05-23T00:00,14.1,15.8
1985-05-24T00:00,5.6,16.4
1985-05-25T00:00,3.4,18.9
1985-05-26T00:00,0,21.3
1985-05-27T00:00,0,21.9
1985-05-28T00:00,10.9,21.3
1985-05-29T00:00,0.8,17
1985-05-30T00:00,0,17.2
1985-05-31T00:00,0,20.3
1985-06-01T00:00,0,23.2
1985-06-02T00:00,0,20.7
1985-06-03T00:00,0.1,22.1
1985-06-04T00:00,0.1,21.5
1985-06-05T00:00,17.8,20.8
1985-06-06T00:00,0,20.8
1985-06-07T00:00,3.3,18.9
1985-06-08T00:00,16.2,19.5
1985-06-09T00:00,0,23.2
1985-06-10T00:00,0,25
1985-06-11T00:00,2,21.7
1985-06-12T00:00,8.4,22.3
1985-06-13T00:00,0,17.6
1985-06-14T00:00,0,18.1
1985-06-15T00:00,1.3,19.6
1985-06-16T00:00,4.6,21.8
1985-06-17T00:00,0,22.7
1985-06-18T00:00,1.7,23.7
1985-06-19T00:00,0,22.3
1985-06-20T00:00,1.9,20.2
1985-06-21T00:00,0,20.8
1985-06-22T00:00,0,23.2
1985-06-23T00:00,1.8,24.2
1985-06-24T00:00,0.7,24.7
1985-06-25T00:00,0,22.1
1985-06-26T00:00,0,19.7
1985-06-27T00:00,1.8,18.7
1985-06-28T00:00,0.9,18.5
1985-06-29T00:00,0.7,21.4
1985-06-30T00:00,0.2,22.4
1985-07-01T00:00,0.2,20.7
1985-07-02T00:00,2.8,21.3
1985-07-03T00:00,0,23.1
1985-07-04T00:00,0.7,24.1
1985-07-05T00:00,6.5,24.5
1985-07-06T00:00,0.4,24.5
1985-07-07T00:00,0,25.3
1985-07-08T00:00,2.3,24.6
1985-07-09T00:00,1.8,25.3
1985-07-10T00:00,0.8,25.5
1985-07-11T00:00,0,25.2
1985-07-12T00:00,0,25.1
1985-07-13T00:00,1.6,25.6
1985-07-14T00:00,0.4,27
1985-07-15T00:00,12.8,27.4
1985-07-16T00:00,0,26.6
1985-07-17T00:00,0,24.7
1985-07-18T00:00,0,24.7
1985-07-19T00:00,0,25.8
1985-07-20T00:00,0,27.5
1985-07-21T00:00,6.3,27.5
1985-07-22T00:00,0,27.1
1985-07-23T00:00,0,23.4
1985-07-24T00:00,0,23.6
1985-07-25T00:00,2.6,25.6
1985-07-26T00:00,13.9,25.9
1985-07-27T00:00,14.8,24.3
1985-07-28T00:00,0,24.6
1985-07-29T00:00,0,23.6
1985-07-30T00:00,0,25.7
1985-07-31T00:00,18.5,25.8
1985-08-01T00:00,3.9,22.7
1985-08-02T00:00,0,22.8
1985-08-03T00:00,0,22.8
1985-08-04T00:00,0,23.3
1985-08-05T00:00,0,23.2
1985-08-06T00:00,0,23.5
1985-08-07T00:00,0.5,25.5
1985-08-08T00:00,6.9,24.8
1985-08-09T00:00,0.3,25.3
1985-08-10T00:00,0,24.9
1985-08-11T00:00,0.1,25.7
1985-08-12T00:00,0,25.7
1985-08-13T00:00,0,26.4
1985-08-14T00:00,0.2,28.6
1985-08-15T00:00,0,29.1
1985-08-16T00:00,5.5,26.6
1985-08-17T00:00,1.2,24.2
1985-08-18T00:00,13.3,23.5
1985-08-19T00:00,7.8,24.3
1985-08-20T00:00,0.4,25.2
1985-08-21T00:00,11.1,22.4
1985-08-22T00:00,0,22.2
1985-08-23T00:00,0,22.1
1985-08-24T00:00,0,23.6
1985-08-25T00:00,20.4,23.3
1985-08-26T00:00,3.1,25.5
1985-08-27T00:00,0,25.6
1985-08-28T00:00,0,24.9
1985-08-29T00:00,0,25.2
1985-08-30T00:00,5.8,25.2
1985-08-31T00:00,0,22.2
1985-09-01T00:00,0.2,21
1985-09-02T00:00,0,24.9
1985-09-03T00:00,0,26.2
1985-09-04T00:00,0,27.8
