year,month,day,transect,plot,species_code,area,fractional_cover,family,genus,species,identification_notes,plant_cover_notes
2015,10,15,R1,1,AMCA,1,0.15,NA,Amaranthus,cannabinus,NA,NA
2015,10,15,R1,1,ATPA,1,0.15,NA,Atriplex,patula,NA,NA
2015,10,15,R1,1,SCRO,1,0.03,NA,Schoenoplectus,robustus,NA,NA
2015,10,15,R1,1,SPAL,1,0.875,NA,Spartina,alterniflora,NA,NA
2015,10,15,R1,1,SYLA,1,0.03,NA,Symphyotrichum,lanceolatum,NA,NA
2015,10,15,R1,2,AMCA,1,0.03,NA,Amaranthus,cannabinus,NA,NA
2015,10,15,R1,2,DISP,1,0.03,NA,Distichlis,spicata,NA,NA
2015,10,15,R1,2,IVFR,1,0.375,NA,Iva,frutescens,NA,NA
2015,10,15,R1,2,SCRO,1,0.15,NA,Schoenoplectus,robustus,NA,NA
2015,10,15,R1,2,SPAL,1,0.375,NA,Spartina,alterniflora,NA,NA
2015,10,15,R1,2,SYLA,1,0.03,NA,Symphyotrichum,lanceolatum,NA,NA
2015,10,15,R1,2,TYAN,1,0.15,NA,Typha,angustifolia,NA,NA
2015,10,15,R1,3,DISP,1,0.15,NA,Distichlis,spicata,NA,NA
2015,10,15,R1,3,IVFR,1,0.15,NA,Iva,frutescens,NA,NA
2015,10,15,R1,3,PLOD,1,0.005,NA,Pluchea,odorata,NA,NA
2015,10,15,R1,3,SCRO,1,0.375,NA,Schoenoplectus,robustus,NA,NA
2015,10,15,R1,3,SPAL,1,0.15,NA,Spartina,alterniflora,NA,NA
2015,10,15,R1,3,SPPA,1,0.005,NA,Spartina,patens,NA,NA
2015,10,15,R1,4,AMCA,1,0.005,NA,Amaranthus,cannabinus,NA,NA
2015,10,15,R1,4,DISP,1,0.625,NA,Distichlis,spicata,NA,NA
2015,10,15,R1,4,IVFR,1,0.15,NA,Iva,frutescens,NA,NA
2015,10,15,R1,4,SCRO,1,0.15,NA,Schoenoplectus,robustus,NA,NA
2015,10,15,R1,4,SPPA,1,0.005,NA,Spartina,patens,NA,NA
2015,10,15,R1,4,SYTE,1,0.03,NA,Symphyotrichum,tenuifolium,NA,NA
2015,10,15,R1,4,TYAN,1,0.375,NA,Typha,angustifolia,NA,NA
2015,10,15,R1,5,HIMO,1,0.15,NA,Hibiscus,moscheutos,NA,NA
2015,10,15,R1,5,MOCE,1,0.15,NA,Morella,cerifera,NA,NA
2015,10,15,R1,5,TYAN,1,0.005,NA,Typha,angustifolia,NA,NA
2015,10,15,R1,5,NA,1,0.03,NA,NA,NA,NA,SALA or PEVI
2015,10,15,R2,1,AMCA,1,0.03,NA,Amaranthus,cannabinus,NA,NA
2015,10,15,R2,1,PHAU,1,0.625,NA,Phragmites,australis,NA,NA
2015,10,15,R2,1,SCRO,1,0.03,NA,Schoenoplectus,robustus,NA,NA
2015,10,15,R2,1,SPAL,1,0.15,NA,Spartina,alterniflora,NA,NA
2015,10,15,R2,1,SPPA,1,0.625,NA,Spartina,patens,NA,NA
2015,10,15,R2,1,SYLA,1,0.005,NA,Symphyotrichum,lanceolatum,NA,NA
2015,10,15,R2,2,IVFR,1,0.15,NA,Iva,frutescens,NA,NA
2015,10,15,R2,2,PHAU,1,0.375,NA,Phragmites,australis,NA,NA
2015,10,15,R2,3,IVFR,1,0.005,NA,Iva,frutescens,NA,NA
2015,10,15,R2,3,PHAU,1,0.625,NA,Phragmites,australis,NA,NA
2015,10,15,R2,3,SPAL,1,0.375,NA,Spartina,alterniflora,NA,NA
2015,10,15,R2,4,AMCA,1,0.03,NA,Amaranthus,cannabinus,NA,NA
2015,10,15,R2,4,PHAU,1,0.625,NA,Phragmites,australis,NA,NA
2015,10,15,R2,4,SPAL,1,0.15,NA,Spartina,alterniflora,NA,NA
2015,10,15,R2,5,PHAU,1,0.375,NA,Phragmites,australis,NA,NA
2015,10,15,R3,1,IVFR,1,0.15,NA,Iva,frutescens,NA,NA
2015,10,15,R3,1,PHAU,1,0.15,NA,Phragmites,australis,NA,NA
2015,10,15,R3,1,SCRO,1,0.15,NA,Schoenoplectus,robustus,NA,NA
2015,10,15,R3,1,SPAL,1,0.625,NA,Spartina,alterniflora,NA,NA
2015,10,15,R3,1,SYLA,1,0.03,NA,Symphyotrichum,lanceolatum,NA,NA
2015,10,15,R3,2,HIMO,1,0.03,NA,Hibiscus,moscheutos,NA,biomass dead
2015,10,15,R3,2,IVFR,1,0.005,NA,Iva,frutescens,NA,NA
2015,10,15,R3,2,PHAU,1,0.15,NA,Phragmites,australis,NA,NA
2015,10,15,R3,2,SCRO,1,0.15,NA,Schoenoplectus,robustus,NA,NA
2015,10,15,R3,2,SYLA,1,0.005,NA,Symphyotrichum,lanceolatum,NA,NA
2015,10,15,R3,2,SYTE,1,0.15,NA,Symphyotrichum,tenuifolium,NA,NA
2015,10,15,R3,3,HIMO,1,0.03,NA,Hibiscus,moscheutos,NA,biomass dead
2015,10,15,R3,3,KOVI,1,0.03,NA,Kosteletzkya ,virginica,NA,NA
2015,10,15,R3,3,PHAU,1,0.15,NA,Phragmites,australis,NA,NA
2015,10,15,R3,3,SYTE,1,0.005,NA,Symphyotrichum,tenuifolium,NA,biomass dead
2015,10,15,R3,4,AMCA,1,0.005,NA,Amaranthus,cannabinus,NA,biomass dead
2015,10,15,R3,4,ATPA,1,0.03,NA,Atriplex,patula,NA,NA
2015,10,15,R3,4,HIMO,1,0.03,NA,Hibiscus,moscheutos,NA,biomass dead
2015,10,15,R3,4,KOVI,1,0.005,NA,Kosteletzkya ,virginica,NA,biomass dead
2015,10,15,R3,4,PHAU,1,0.375,NA,Phragmites,australis,NA,NA
2015,10,15,R3,4,SYTE,1,0.03,NA,Symphyotrichum,tenuifolium,NA,NA
2015,10,15,R3,5,AMCA,1,0.03,NA,Amaranthus,cannabinus,NA,NA
2015,10,15,R3,5,DISP,1,0.005,NA,Distichlis,spicata,NA,NA
