Year,Month,Chamber,CO2,Nitrogen,Treatment,Depth,SampleID,SO4,Cl,Salinity
2005,September,1,1,1,4,20,L1-20,8.040361822,166.071622,10.63826687
2005,September,1,1,1,4,40,L1-40,1.781441048,94.88236953,6.07801506
2005,September,1,1,1,4,80,L1-80,4.971428571,131.104457,8.398334971
2005,September,2,0,0,1,20,L2-20,6.278633812,112.8853315,7.231251495
2005,September,2,0,0,1,40,L2-40,1.369026825,100.4326093,6.433553152
2005,September,2,0,0,1,80,L2-80,8.60679975,170.0225106,10.89135349
2005,September,3,1,0,3,20,L3-20,8.387679351,173.4424824,11.11043055
2005,September,3,1,0,3,40,L3-40,1.565658141,111.1941608,7.122918231
2005,September,3,1,0,3,80,L3-80,3.836587648,120.4827927,7.717930805
2005,September,4,0,1,2,20,L4-20,5.353025577,153.9447955,9.861444801
2005,September,4,0,1,2,40,L4-40,2.221834061,114.9887729,7.365994064
2005,September,4,0,1,2,80,L4-80,1.588646288,112.4165585,7.201222769
2005,September,5,1,1,4,20,L5-20,5.654616344,136.4055853,8.737915446
2005,September,5,1,1,4,40,L5-40,3.359419838,95.34812412,6.107850437
2005,September,5,1,1,4,80,L5-80,3.627043044,111.2360226,7.125599819
2005,September,6,0,0,1,20,L6-20,5.138771054,149.1718195,9.555696787
2005,September,6,0,0,1,40,L6-40,2.090361822,99.97449929,6.404207472
2005,September,6,0,0,1,80,L6-80,3.097878977,98.80679831,6.329406707
2005,September,7,0,0,1,20,L7-20,9.507174049,174.4005078,11.17179989
2005,September,7,0,0,1,40,L7-40,3.231815346,113.4154866,7.265212253
2005,September,7,0,0,1,80,L7-80,4.559794136,117.6628491,7.537290436
2005,September,8,1,0,3,20,L8-20,5.501809108,149.681213,9.588327593
2005,September,8,1,0,3,40,L8-40,3.939051778,114.714048,7.348395691
2005,September,8,1,0,3,80,L8-80,-99,-99,-99
2005,September,9,1,0,3,20,L9-20,6.879070493,163.1494217,10.45107613
2005,September,9,1,0,3,40,L9-40,6.570617592,145.4050494,9.314404463
2005,September,9,1,0,3,80,L9-80,4.818746101,129.9004795,8.321210404
2005,September,10,0,1,2,20,L10-20,9.085995009,173.7390973,11.12943116
2005,September,10,0,1,2,40,L10-40,4.03231441,124.1085472,7.950189936
2005,September,10,0,1,2,80,L10-80,4.471553337,112.3648801,7.197912345
2005,September,11,0,1,2,20,L11-20,8.98992514,192.1223413,12.30702776
2005,September,11,0,1,2,40,L11-40,4.194354336,123.1386178,7.888058048
2005,September,11,0,1,2,80,L11-80,5.136868372,137.1852468,8.787859119
2005,September,12,1,1,4,20,L12-20,4.548721148,145.2035261,9.301495255
2005,September,12,1,1,4,40,L12-40,5.872738615,137.1253879,8.784024665
2005,September,12,1,1,4,80,L12-80,6.120679975,129.1056135,8.270292758
2005,September,13,1,0,3,20,L13-20,8.746974423,174.6304372,11.18652874
2005,September,13,1,0,3,40,L13-40,2.642981909,112.2186178,7.18854305
2005,September,13,1,0,3,80,L13-80,5.587554585,136.8697884,8.767651438
2005,September,14,0,1,2,20,L14-20,4.855396132,140.4348378,8.996021905
2005,September,14,0,1,2,40,L14-40,0.603119152,97.57119887,6.250256493
2005,September,14,0,1,2,80,L14-80,4.595851528,137.0451904,8.778887364
2005,September,15,1,1,4,20,L15-20,4.999189021,137.8422285,8.829944149
2005,September,15,1,1,4,40,L15-40,5.13250156,127.1384485,8.144279806
2005,September,15,1,1,4,80,L15-80,4.286182158,131.255402,8.408004228
2005,September,16,0,0,1,20,L16-20,6.108484092,169.407842,10.85197896
2005,September,16,0,0,1,40,L16-40,3.820524017,NA,NA
2005,September,16,0,0,1,80,L16-80,-99,-99,-99
2005,September,17,0,0,1,20,L17-20,9.531191516,179.9171509,11.52518584
2005,September,17,0,0,1,40,L17-40,1.640393013,117.3458674,7.516985177
2005,September,17,0,0,1,80,L17-80,4.016781036,127.8300423,8.188582025
2005,September,18,1,1,4,20,L18-20,4.478228322,141.1667419,9.042906327
2005,September,18,1,1,4,40,L18-40,3.704429195,81.19492243,5.20122252
2005,September,18,1,1,4,80,L18-80,3.313412352,120.3449647,7.709101803
2005,September,19,1,0,3,20,L19-20,3.403805365,149.1359379,9.553398283
2005,September,19,1,0,3,40,L19-40,NA,119.4712835,7.653135399
2005,September,19,1,0,3,80,L19-80,-99,-99,-99
2005,September,20,0,1,2,20,L20-20,6.079912664,159.9805078,10.24808136
2005,September,20,0,1,2,40,L20-40,-99,-99,-99
2005,September,20,0,1,2,80,L20-80,1.925701809,111.6680677,7.153275831
2005,November,1,1,1,4,20,L1-20,8.433998752,174.9765021,11.20869702
2005,November,1,1,1,4,40,L1-40,3.193262633,131.136756,8.400403986
2005,November,1,1,1,4,80,L1-80,4.092576419,134.7569535,8.632307138
2005,November,2,0,0,1,20,L2-20,8.606363069,179.8850494,11.52312948
2005,November,2,0,0,1,40,L2-40,3.433437305,127.6859803,8.179353676
2005,November,2,0,0,1,80,L2-80,4.111946351,135.7596051,8.696535146
2005,November,3,1,0,3,20,L3-20,6.77448534,167.6773766,10.74112854
2005,November,3,1,0,3,40,L3-40,4.039956332,137.3292243,8.797082047
2005,November,3,1,0,3,80,L3-80,4.258702433,124.3415797,7.965117563
2005,November,4,0,1,2,20,L4-20,7.009107923,165.5221157,10.60306651
2005,November,4,0,1,2,40,L4-40,3.353337492,119.2314245,7.637770478
2005,November,4,0,1,2,80,L4-80,1.581160324,117.7980818,7.545953194
